Movie_ID,Title,Director,Cast,Year,Genre
83768163,71 er Shongram,Munsur Ali,"Anupam Kher, Asia Argento, Amaan Reza,  Dilruba Yasmeen Ruhee",2014,"Romance, War"
83768164,Dobir Saheber Songsar ,Jakir Hossain Raju,"Ali Raz, Mahiya Mahi, Bappy Chowdhury",2014,Comedy
83768165,Anukrosh,Golam Mostafa Shimul,"Pijush Bandyopadhyay, Keramat Mawla, Raisul Islam Ashad, Riaz Mahmud Jewel",2014,"Drama, War"
83768166,Daring Lover,Badiul Alam Khokon,"Shakib Khan, Apu Biswas, Misha Sawdagor",2014,"Action, Romance"
83768167,Jonakir Alo,Khalid Mahmud Mithu,"Mamnun Hasan Emon, Bidya Sinha Mim",2014,Romance
83768168,Maa er Momota,Mostafizur Rahman Babu,"Mamnun Hasan Emon, Nipun Akter, Suchorita",2014,"Romance, Drama"
83768169,Jaan,G Sarker,"Mamnun Hasan Emon, Bindia, Amaan, Anna",2014,Romance
83768170,Bhalobasha Express,Shafi Uddin Shafi,"Shakib Khan, Apu Biswas, Mim Chowdhury",2014,Romance
83768171,Ami Shudhu Cheyechi Tomay ,"Ashok Pati, Anonno Mamun","Ankush Hazra, Subhashree Ganguly, Misha Sawdagor",2014,"Action, Romance"
83768172,Kacher Shatru,M A Auwal,"Amin Khan, Nipun Akter, Shomrat",2014,Action
83768173,Duti Moner Paglami,Julhash Chowdhury Polash,"Nupur, Romeo",2014,Romance
83768174,Fand - The Trap,Shafi Uddin Shafi,"Shakib Khan, Achol, Amit Hasan, Kazi Hayat",2014,"Action, Romance"
83768175,Taarkata,Muhammad Mostafa Kamal Raz,"Arifin Shuvoo, Bidya Sinha Mim, Moushumi",2014,"Crime, Thriller"
83768176,Nekabborer Mahaprayan,Masud Pathik,"Mamunur Rashid, Prabir Mitra, Shimla, Nirmalendu Goon",2014,Drama
83768177,Honeymoon,Shafi Uddin Shafi,"Bappy Chowdhury, Mahiya Mahi",2014,Romance
83768178,Most Welcome 2,Ananta Jalil,"Ananta Jalil, Afiea Nusrat Barsha, Shohel Rana",2014,"Action, Romance"
83768179,Mukti,P A Kajal,"Shoccho, Parveen Sultana Diti, Shohel Rana",2014,Drama
83768180,Headmaster,Delwar Jahan Jhontu,"Alamgir, Suborna Mustafa, Kayes Arju",2014,Drama
83768181,Priya Tumi Shukhi Hou,Geetali Hasan,"Shaila Shabi, Shohel Rana, Ferdous",2014,Romance
83768182,I Don't Care,Mohammad Hossain,"Bobby, Bappy Chowdhury",2014,"Action, Romance"
83768183,Hero: The Superstar,Badiul Alam Khokon,"Shakib Khan, Apu Biswas, Bobby, Bobita, Notun",2014,"Action, Romance"
83768184,Bhalobashar Tajmahal,Ahsanullah Moni,"Akash, Hena",2014,Romance
83768185,Adrishyo Shotru,Eiyul Raiyan,"Eiyul Raiyan, Shohel Rana, Priya Aman",2014,Action
83768186,Olpo Olpo Premer Golpo,Saniat S Hossain,"Niloy Alamgir, Anika Kabir Shokh",2014,"Romance, Action"
83768187,Age Jodi Jantam Tui Hobi Por,Montazur Rahman Akbar,"Abhi, Ariyan Shah, Pushpita, Prabir Mitra",2014,Romance
83768188,Love Station,Shahdat Hossain Liton,"Bappy Chowdhury, Mishti Jannat,Kazi Hayat, Shahnoor",2014,"Romance, Action"
83768189,Tui Shudhu Amar,Raju Chowdhury,"Symon Sadik, Moumita",2014,"Action, Romance"
83768190,Bhalobashle Dosh Ki Tate,Khokon Rizbhi,"Nir, Arav Khan, Joy Chowdhury",2014,Romance
83768191,Sedin Brishti Chilo,Shaheen Sumon,"Ratna, Sumit (debut)",2014,Horror
